,post_id,perc_miss_comment_author,total_num_nodes,total_density,num_weak_component,num_strong_component,main_miss_node,main_num_nodes,main_density,main_transitivity,main_avg_shortest_path,main_diameter,main_radius,main_eccentricity_mean,main_eccentrisity_std,avg_periphery_lkarma,avg_periphery_ckarma,avg_center_lkarma,avg_center_ckarma,in_degree_top_avg_lkarma,in_degree_top_avg_ckarma,out_degree_top_avg_lkarma,out_degree_top_avg_ckarma,close_top_avg_lkarma,close_top_avg_ckarma,between_top_avg_lkarma,between_top_avg_ckarma,hub_top_avg_lkarma,hub_top_avg_ckarma,auth_top_avg_lkarma,auth_top_avg_ckarma,author_lkarma,author_ckarma
3556,282o7j,0.24,16,0.06666666666666667,1,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,282yqf,0.15517241379310345,29,0.05172413793103448,1,26,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3558,283575,0.2545454545454545,52,0.026395173453996983,1,42,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3559,283aw1,0.06,32,0.04032258064516129,1,24,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3560,283dkt,0.2857142857142857,11,0.09090909090909091,1,11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,283rvr,0.15625,22,0.05411255411255411,1,20,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3562,283t7d,0.19616788321167883,389,0.0039819256353854715,11,270,0.08045977011494253,87.0,0.026329858326650628,0.06463878326996197,6.657177225340818,13.0,7.0,10.080459770114942,1.3149746800988587,2235.0,16861.0,3496.6666666666665,14238.0,7798.777777777777,50868.555555555555,9071.0,64831.142857142855,1147.3333333333333,53567.22222222222,7720.888888888889,49687.555555555555,6257.5,90545.66666666667,1591.6666666666667,58317.333333333336,70056.0,64936.0
3563,283tw3,0.3333333333333333,19,0.05555555555555555,2,18,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3564,2848ye,0.2231404958677686,170,0.007483466759484859,8,146,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2849yp,0.27074235807860264,113,0.010113780025284451,4,101,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,284ffx,0.20869565217391303,46,0.029468599033816423,3,38,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,284k7j,0.2891566265060241,32,0.03326612903225806,5,26,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3568,284mhk,0.3333333333333333,30,0.04827586206896552,1,24,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3569,284osh,0.20739219712525667,146,0.011384034010392063,5,97,0.15151515151515152,33.0,0.06818181818181818,0.08045977011494253,6.195075757575758,9.0,5.0,6.9393939393939394,1.0713739108887084,4.0,17148.5,2967.0,4346.5,2725.0,190751.0,72.0,2387.0,6733.0,194814.66666666666,2899.0,240643.0,6016.5,7462.5,4082.3333333333335,6018.666666666667,6038.0,11734.0
3570,284ou4,0.3310344827586207,115,0.009763539282990084,6,104,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,284rcs,0.14965986394557823,67,0.02125734961555857,1,53,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3572,284ysz,0.23595505617977527,24,0.08152173913043478,1,12,0.2727272727272727,11.0,0.20909090909090908,0.0,3.0545454545454547,5.0,2.0,3.5454545454545454,0.7820295697311479,1.0,7753.0,12032.0,12910.0,,,12032.0,12910.0,,,,,5299.0,2881.0,12032.0,12910.0,8391.0,2951.0
